ID,Cafe Name,Area/Zone,Owner Name,Phone,Owner Type,Status,First Contact Date,Statement Received,Disputable Found (Rs),Recovered (Rs),Paying,Next Action,Next Action Date,Notes
1,EXAMPLE Cafe Brew,Sector 18 Noida,Aarav,98xxxxxxxx,First-timer,Audit done,2026-05-21,Yes,3200,0,No,File dispute + offer pilot,2026-05-23,Friendly; checks WhatsApp often; wants daily profit view
2,EXAMPLE Spice Junction,Mayur Vihar Ph1,Mr Khurana,99xxxxxxxx,Veteran,Regular-visiting,2026-05-20,No,,,No,Build rapport; bring up Petpooja raid angle,2026-05-22,Distrusts cloud; speak Hindi; son handles tech
3,,,,,,Not contacted,,No,,,No,,,
4,,,,,,Not contacted,,No,,,No,,,
5,,,,,,Not contacted,,No,,,No,,,
6,,,,,,Not contacted,,No,,,No,,,
7,,,,,,Not contacted,,No,,,No,,,
8,,,,,,Not contacted,,No,,,No,,,
9,,,,,,Not contacted,,No,,,No,,,
10,,,,,,Not contacted,,No,,,No,,,
